# Source http://www.theguardian.com/news/datablog/2010/oct/16/greatest-films-of-all-time
Entry|Film|Director|Leading actors|Year of cinema release|No of Oscars won|IMDB link|Guardian film page|Country
01|Brief Encounter|David Lean |Celia Johnson, Cyril Raymond, Stanley Holloway, Trevor Howard|1945||http://www.imdb.com/title/tt0037558/|http://www.guardian.co.uk/film/movie/35664/brief.encounter|UK
02|Casablanca|Michael Curtiz|Claude Rains, Humphrey Bogart, Ingrid Bergman, Paul Henreid|1942|3|http://www.imdb.com/title/tt0034583/|http://www.guardian.co.uk/film/movie/36156/casablanca|USA
03|Before Sunset|Richard Linklater|Ethan Hawke and Julie Delpy|2004||http://www.imdb.com/title/tt0381681/awards|http://www.guardian.co.uk/film/movie/101181/before.sunset|USA
78|Let the Right One In|Tomas Alfredson| Henrik Dahl, Kare Hedebrant, Karin Bergquist, Lina Leandersson, Per Ragnar, Peter Carlberg|2008||http://www.imdb.com/title/tt1139797/|http://www.guardian.co.uk/film/movie/125671/let-the-right-one-in|Sweden
79|Vampyr|Carl Theodor Dreyer|Henriette Gérard, Henriette Gerard, Julian West, Sybille Schmitz|1932||http://www.imdb.com/title/tt0023649/|http://www.guardian.co.uk/film/movie/80562/vampyr|Germany
815|Roman Holiday|William Wyler|Audrey Hepburn, Gregory Peck|1953|3|http://www.imdb.com/title/tt0046250/|http://www.guardian.co.uk/film/movie/96156/roman-holiday|USA
29|Hidden| Michael Haneke|Annie Girardot, Daniel Auteuil, Juliette Binoche, Maurice Benichou|2005||http://www.imdb.com/title/tt0387898/|http://www.guardian.co.uk/film/movie/108597/hidden|France|Robinson, Fred MacMurray and Barbara Stanwyck|1944||http://www.imdb.com/title/tt0036775/|http://www.guardian.co.uk/film/movie/36162/double.indemnity|USA
310|Comedy|Monty Python’s Life of Brian|Terry Jones|Eric Idle, Graham Chapman, John Cleese, Michael Palin, Terry Gilliam, Terry Jones|1979||http://www.imdb.com/title/tt0079470/|http://www.guardian.co.uk/film/movie/78168/monty-python-s-life-of-brian|UK
04|Breathless|Jean-Luc Godard|Jean Seberg, Jean-Paul Belmondo|1960||http://www.imdb.com/title/tt0053472/|http://www.guardian.co.uk/film/movie/36219/a-bout-de-souffle|France
05|In the Mood for Love|Kar Wai Wong|Maggie Cheung Man-Yuk, Rebecca Pan, Tony Leung Chiu-Wai|2000||http://www.imdb.com/title/tt0118694/|http://www.guardian.co.uk/film/movie/85442/in.the.mood.for.love|Hong Kong
28|Pulp Fiction|Quentin Tarantino|Amanda Plummer, Bruce Willis, Eric Stoltz, Harvey Keitel, John Travolta, Rosanna Arquette, Samuel L Jackson, Steve Buscemi, Tim Roth, Uma Thurman|1994|1|http://www.imdb.com/title/tt0110912/|http://www.guardian.co.uk/film/movie/56612/pulp.fiction|USA
73|Don’t Look Now|Nicholas Roeg|Donald Sutherland, Hilary Mason, Julie Christie|1973||http://www.imdb.com/title/tt0069995/|http://www.guardian.co.uk/film/movie/35097/don.t.look.now|UK
74|The Wicker Man|Robin Hardy|Britt Ekland, Christopher Lee, Edward Woodward|1973||http://www.imdb.com/title/tt0070917/|http://www.guardian.co.uk/film/movie/36301/wicker.man|UK
75|The Shining|Stanley Kubrick|Danny Lloyd, Jack Nicholson, Shelley Duval|1980||http://www.imdb.com/title/tt0081505/|http://www.guardian.co.uk/film/movie/76626/shining|USA
765|Harold & Maude|Hal Ashby|Bud Cort, Cyril Cusack, Ruth Gordon, Vivian Pickles|1971||http://www.imdb.com/title/tt0067185/|http://www.guardian.co.uk/film/movie/78471/harold-and-maude|USA
76|The Exorcist|William Friedkin|Ellen Burstyn, Linda Blair, Max von Sydow|1973|2|http://www.imdb.com/title/tt0070047/|http://www.guardian.co.uk/film/movie/86477/exorcist|USA
77|Nosferatu  (1922)|FW Mernau|Alexander Granach, Greta Schroder, Gustav von Wangenheim, Max Schreck|1922||http://www.imdb.com/title/tt0013442/|http://www.guardian.co.uk/film/movie/75839/nosferatu|Germany
780|Dracula   (1958)|Terence Fisher|Christopher Lee, Melissa Stribling, Michael Gough, Peter Cushing|1958||http://www.imdb.com/title/tt0051554/|http://www.guardian.co.uk/film/movie/36215/dracula|UK
31|Comedy|Annie Hall|Woody Allen|Carol Kane, Diane Keaton, Paul Simon, Tony Roberts, Woody Allen|1977|4|http://www.imdb.com/title/tt0075686/|http://www.guardian.co.uk/film/movie/36314/annie.hall|USA
