pelicula_id,usuario_id,rating,fecha
719,7770,0,2016-02-18T22:43:30Z
225,35851,3,2016-02-19T13:58:20Z
325,55071,4,2016-02-19T02:07:16Z
718,44429,4,2016-02-18T11:18:39Z
713,80336,2,2016-02-20T12:19:40Z
69,20479,2,2016-02-19T15:48:17Z
362,35422,2,2016-02-16T00:54:16Z
614,95271,0,2016-02-15T00:15:46Z
320,3241,0,2016-02-15T15:32:29Z
412,90447,3,2016-02-20T17:25:16Z
79,99664,2,2016-02-19T20:01:26Z
624,98670,3,2016-02-16T07:22:58Z
18,35695,0,2016-02-16T09:42:47Z
24,66322,0,2016-02-17T00:57:56Z
47,32126,2,2016-02-18T10:41:43Z
63,34644,2,2016-02-19T07:32:56Z
214,85228,2,2016-02-19T01:47:20Z
410,6633,0,2016-02-19T15:49:27Z
714,42234,4,2016-02-16T15:43:29Z
24,75688,2,2016-02-17T22:50:50Z
412,61070,0,2016-02-15T22:01:46Z
05,58293,2,2016-02-15T18:08:49Z
66,65629,1,2016-02-18T20:10:36Z
10,96227,0,2016-02-15T02:23:40Z
49,18793,4,2016-02-15T21:25:55Z
620,97817,3,2016-02-20T03:27:31Z
719,35198,0,2016-02-20T06:51:15Z
724,47649,1,2016-02-17T07:48:37Z
15,48469,1,2016-02-19T21:57:08Z
316,35856,2,2016-02-18T15:22:05Z
05,3344,2,2016-02-16T23:52:26Z
31,67573,4,2016-02-18T11:18:44Z
73,43642,2,2016-02-15T20:11:45Z
318,53501,0,2016-02-20T04:49:23Z
415,43264,2,2016-02-19T07:45:44Z
224,29467,2,2016-02-19T06:12:10Z
65,97021,3,2016-02-16T05:11:22Z
218,31855,1,2016-02-16T19:17:57Z
723,31815,2,2016-02-20T09:21:46Z
613,1706,4,2016-02-15T10:32:55Z
621,88285,1,2016-02-16T08:08:11Z
418,87357,4,2016-02-18T04:43:29Z
617,38080,3,2016-02-17T00:14:06Z
35,55271,1,2016-02-16T00:37:52Z
716,75088,0,2016-02-17T20:23:50Z
716,84842,3,2016-02-15T21:11:12Z
622,72441,4,2016-02-16T05:55:57Z
66,90053,4,2016-02-18T05:09:41Z
25,67883,3,2016-02-18T01:35:43Z
725,75909,3,2016-02-17T09:14:57Z
63,67878,2,2016-02-16T03:14:19Z
21,63843,2,2016-02-17T20:39:24Z
412,75975,3,2016-02-19T05:41:11Z
24,78156,0,2016-02-20T18:42:49Z
415,86048,3,2016-02-17T05:10:29Z
610,45931,1,2016-02-16T10:02:21Z
716,64081,1,2016-02-20T02:57:38Z
73,7510,3,2016-02-17T13:50:36Z
213,24416,2,2016-02-17T23:39:15Z
36,80951,3,2016-02-15T22:16:34Z
325,28892,4,2016-02-19T19:11:35Z
71,91512,4,2016-02-19T14:53:04Z
311,13802,1,2016-02-20T16:01:40Z
24,13938,4,2016-02-20T07:24:22Z
310,50815,2,2016-02-20T16:44:41Z
26,94610,4,2016-02-18T05:01:04Z
22,3613,3,2016-02-17T00:49:22Z
317,61008,2,2016-02-17T17:45:41Z
42,41480,2,2016-02-20T15:55:19Z
78,83061,2,2016-02-20T09:01:14Z
44,40456,4,2016-02-19T01:22:07Z
622,37437,1,2016-02-18T07:45:08Z
612,17101,0,2016-02-20T06:11:55Z
66,77892,0,2016-02-19T13:39:49Z
780,47113,3,2016-02-15T08:21:28Z
411,98011,2,2016-02-17T04:33:12Z
44,5229,1,2016-02-19T12:01:45Z
12,56369,3,2016-02-17T14:13:07Z
621,15707,1,2016-02-16T11:22:12Z
712,81079,4,2016-02-20T14:26:49Z
225,4123,1,2016-02-19T13:56:57Z
815,52369,4,2016-02-17T22:11:20Z
69,8673,4,2016-02-15T20:07:20Z
23,90864,0,2016-02-19T15:58:56Z
412,6819,4,2016-02-17T18:08:43Z
711,71033,4,2016-02-19T15:16:10Z
09,68226,3,2016-02-19T07:49:48Z
780,78053,1,2016-02-19T18:31:18Z
416,91546,2,2016-02-16T17:46:14Z
08,34375,4,2016-02-19T08:59:52Z
01,90435,0,2016-02-20T18:59:48Z
418,7866,4,2016-02-18T19:36:14Z
34,92579,2,2016-02-17T14:01:31Z
35,24383,0,2016-02-19T16:04:04Z
610,55313,1,2016-02-15T01:34:37Z
723,66840,2,2016-02-20T03:05:34Z
415,62138,4,2016-02-15T07:54:32Z
14,43934,4,2016-02-17T03:52:54Z
45,82838,3,2016-02-19T03:28:05Z
21,54307,4,2016-02-17T15:12:45Z
43,24333,1,2016-02-20T13:14:23Z
211,29273,4,2016-02-20T09:29:34Z
08,95134,1,2016-02-17T17:38:15Z
23,75635,0,2016-02-15T12:19:52Z
240,77578,1,2016-02-20T20:19:44Z
42,58798,3,2016-02-16T02:48:45Z
216,35770,2,2016-02-18T00:41:40Z
214,96043,3,2016-02-16T10:00:22Z
718,19454,3,2016-02-17T15:16:19Z
42,6621,4,2016-02-17T13:52:31Z
12,90704,2,2016-02-19T00:32:48Z
41,18235,0,2016-02-16T06:02:36Z
66,59382,0,2016-02-18T15:42:20Z
422,8362,2,2016-02-20T15:42:14Z
410,63817,1,2016-02-17T20:43:36Z
220,54651,4,2016-02-20T15:13:58Z
616,85960,1,2016-02-17T23:57:57Z
815,18755,0,2016-02-18T00:30:54Z
714,4033,1,2016-02-16T17:22:39Z
78,67179,3,2016-02-18T07:15:57Z
01,92552,3,2016-02-16T21:57:39Z
71,98045,4,2016-02-16T10:02:46Z
26,84289,0,2016-02-20T22:15:45Z
72,86578,4,2016-02-15T02:19:01Z
12,92268,4,2016-02-16T02:21:23Z
312,5210,4,2016-02-19T14:43:04Z
49,17965,4,2016-02-18T07:24:28Z
411,4839,2,2016-02-19T11:28:01Z
219,66931,1,2016-02-17T13:44:21Z
75,28784,2,2016-02-16T12:24:45Z
765,78352,3,2016-02-15T17:12:24Z
716,15582,4,2016-02-16T10:05:48Z
714,55387,0,2016-02-18T21:02:32Z
12,92936,3,2016-02-20T14:04:49Z
214,74444,4,2016-02-18T11:41:50Z
24,23902,3,2016-02-19T12:34:42Z
31,47441,0,2016-02-20T10:07:46Z
77,42931,2,2016-02-19T23:07:30Z
310,41515,3,2016-02-18T11:30:36Z
26,34180,1,2016-02-18T20:29:45Z
23,99849,3,2016-02-19T16:40:42Z
68,46132,3,2016-02-20T02:17:45Z
724,63226,1,2016-02-19T14:32:29Z
21,56865,4,2016-02-18T13:39:03Z
29,66006,2,2016-02-15T09:25:39Z
342,13365,2,2016-02-17T19:53:33Z
38,59257,1,2016-02-18T10:10:49Z
618,58382,3,2016-02-16T00:55:08Z
615,53905,2,2016-02-17T14:44:11Z
323,20158,4,2016-02-16T23:04:03Z
423,44601,3,2016-02-17T13:01:00Z
22,94670,1,2016-02-15T19:03:41Z
65,77774,0,2016-02-18T11:09:29Z
223,22696,1,2016-02-19T01:19:43Z
342,39676,2,2016-02-20T15:41:34Z
622,20386,3,2016-02-20T14:51:39Z
22,77106,3,2016-02-15T01:21:03Z
715,29658,1,2016-02-14T23:44:00Z
46,28177,1,2016-02-16T15:09:23Z
415,21985,0,2016-02-18T17:45:44Z
74,94993,0,2016-02-16T10:37:57Z
75,50771,3,2016-02-15T20:37:06Z
42,31910,3,2016-02-16T21:19:24Z
216,50921,2,2016-02-15T14:06:13Z
723,51037,4,2016-02-15T10:02:56Z
411,16407,3,2016-02-17T02:23:34Z
65,1535,3,2016-02-15T16:08:27Z
66,48229,4,2016-02-17T13:01:50Z
720,51698,1,2016-02-15T23:19:46Z
410,37578,2,2016-02-18T11:29:29Z
425,95552,1,2016-02-19T15:26:40Z
211,27051,3,2016-02-19T19:51:53Z
63,16235,0,2016-02-17T20:29:35Z
12,76765,1,2016-02-15T07:49:05Z
19,15393,3,2016-02-20T14:38:15Z
423,65500,4,2016-02-20T21:38:00Z
04,25509,0,2016-02-15T21:45:32Z
29,66201,1,2016-02-19T00:27:49Z
311,57473,3,2016-02-20T04:06:28Z
712,30656,2,2016-02-15T14:20:57Z
722,65469,2,2016-02-15T00:39:13Z
423,80132,4,2016-02-18T21:45:49Z
35,3654,1,2016-02-18T01:40:06Z
69,24715,2,2016-02-19T10:28:09Z
26,72401,3,2016-02-17T10:33:39Z
610,12288,4,2016-02-20T14:55:44Z
66,165,2,2016-02-15T02:03:47Z
09,57156,1,2016-02-16T22:05:49Z
719,9891,4,2016-02-17T11:50:31Z
422,34982,4,2016-02-16T23:55:11Z
13,87815,3,2016-02-16T00:18:20Z
68,81085,1,2016-02-16T16:12:43Z
14,28331,2,2016-02-17T14:02:12Z
362,2557,3,2016-02-17T11:15:26Z
225,64469,3,2016-02-15T19:41:20Z
315,60935,0,2016-02-20T01:12:15Z
610,13727,2,2016-02-15T20:43:43Z
425,72916,4,2016-02-17T16:54:57Z
216,48199,2,2016-02-19T12:08:14Z
78,50763,2,2016-02-19T07:40:01Z
722,88570,0,2016-02-18T17:14:37Z
29,83879,1,2016-02-18T05:35:32Z
03,96433,0,2016-02-19T19:55:09Z
710,69893,4,2016-02-17T17:27:43Z
